# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
8641.5000 M290 997788 2 60.5000 s58 s99 298 N s58->s95->s99
8724.5000 M266 865488 2 851.5000 b38 b30 285 N b38->b32->b30
8787.0000 M256 678857 4 1197.0000 v11 b33 280 N v11->b49->b34->b42->b33
8952.0000 M241 894126 3 1814.0000 b36 v10 269 N b36->v11->b43->v10
8978.5000 M245 569042 3 1716.5000 b42 b41 271 N b42->v24->b39->b41
9011.0000 M148 625450 4 4643.0000 v29 v27 222 N v29->v14->v21->b35->v27
9027.5000 M283 563112 1 647.5000 v13 v21 289 N v13->v21
9141.5000 M300 648818 4 278.5000 v1 b34 295 N v1->b31->v14->b30->b34
9292.5000 M309 556109 4 166.5000 b34 v25 297 N b34->v4->b30->b45->v25
9310.5000 M280 531861 2 1015.5000 b36 b39 283 N b36->b38->b39
9428.0000 M240 508487 1 2317.0000 v13 v29 261 N v13->v29
9501.5000 M322 828359 1 0.5000 s83 s85 299 N s83->s85
9676.0000 M118 990380 1 6189.0000 s90 s68 196 N s90->s68
9676.5000 M248 729761 4 2322.5000 s99 s68 261 N s99->s91->s95->s90->s68
9677.0000 M73 567791 3 7504.0000 s97 s90 174 N s97->s65->s68->s90
9677.0000 M232 569382 3 2807.0000 v24 v22 253 N v24->b35->v16->v22
9720.0000 M215 782491 2 3355.0000 v0 v26 244 N v0->v22->v26
9737.0000 M49 955987 3 8272.0000 s62 s53 162 N s62->s82->s90->s53
9813.5000 M333 787137 1 0.5000 s74 s97 299 N s74->s97
10000.0000 M211 725483 2 3757.0000 v28 v6 237 N v28->b46->v6
10075.5000 M342 641547 1 0.5000 s93 s88 299 N s93->s88
10136.5000 M331 930586 3 377.5000 b36 b47 293 N b36->b45->v6->b47
10331.5000 M351 761437 1 0.5000 s96 s52 299 N s96->s52
10471.0000 M281 794881 2 2151.0000 v22 b37 264 N v22->b44->b37
10537.5000 M358 715916 1 0.5000 s53 s68 299 N s53->s68
10618.5000 M354 872250 1 201.5000 b43 b40 296 N b43->b40
10675.0000 M292 840270 1 2034.0000 v28 v12 266 N v28->v12
11128.5000 M267 573962 3 3221.5000 v7 v15 246 N v7->b36->b38->v15
11252.0000 M325 732226 3 1672.0000 v15 b48 272 N v15->v11->v8->b48
11277.0000 M383 910514 3 2.0000 s79 s86 299 N s79->s51->s56->s86
11418.5000 M326 692309 3 1811.5000 v7 v12 269 N v7->v22->b35->v12
11430.0000 M324 773182 3 1876.0000 b47 b30 268 N b47->b45->b44->b30
11501.5000 M390 652618 1 22.5000 b38 v15 299 N b38->v15
11514.0000 M391 957666 2 1.0000 s59 s76 299 N s59->s96->s76
11717.5000 M278 540400 4 3486.5000 v9 v3 241 N v9->b33->b30->v2->v3
11869.5000 M338 697599 3 1911.5000 v29 v26 268 N v29->b33->b37->v26
11919.5000 M377 672041 1 824.5000 b47 v22 286 N b47->v22
11935.5000 M89 502436 2 9286.5000 s58 s85 145 N s58->s78->s85
11948.5000 M339 988060 2 1965.5000 v23 b35 267 N v23->b42->b35
11992.0000 M365 845236 2 1248.0000 b45 v25 279 N b45->v13->v25
12022.5000 M393 575325 2 449.5000 v10 b33 292 N v10->b43->b33
12024.5000 M409 541506 1 0.5000 s69 s88 299 N s69->s88
12146.5000 M364 768742 2 1429.5000 v26 b49 276 N v26->b43->b49
12224.0000 M276 559312 2 4052.0000 s54 s58 232 N s54->s85->s58
12236.5000 M406 604457 2 298.5000 v14 v5 295 N v14->b39->v5
12283.5000 M306 551056 3 3252.5000 v19 v15 245 N v19->b48->b46->v15
12332.0000 M395 815148 4 705.0000 v14 b45 288 N v14->b39->v5->b37->b45
12342.0000 M4 523257 4 12230.0000 s55 s85 96 N s55->s84->s64->s91->s85
12342.5000 M72 566893 1 10200.5000 s85 s91 129 N s85->s91
12419.5000 M317 708700 2 3057.5000 s86 s85 249 N s86->s93->s85
12537.5000 M313 803896 3 3295.5000 b37 v9 245 N b37->v5->b35->v9
12725.0000 M429 827866 2 113.0000 v22 b33 298 N v22->b42->b33
12819.5000 M263 763073 4 5030.5000 s54 s53 216 N s54->s70->s72->s57->s53
12871.5000 M438 951493 1 0.5000 s51 s79 299 N s51->s79
12900.5000 M386 841814 3 1534.5000 v21 v5 274 N v21->b32->v25->v5
12949.0000 M421 929738 2 587.0000 b37 v17 290 N b37->b36->v17
12997.0000 M385 516767 3 1664.0000 b43 b31 272 N b43->b34->v0->b31
13031.5000 M442 892501 3 39.5000 v3 v24 299 N v3->b43->v23->v24
13056.5000 M426 712642 3 532.5000 v2 v12 291 N v2->b36->b49->v12
13210.0000 M209 714314 3 7029.0000 s93 s74 182 N s93->s86->s66->s74
13238.0000 M415 946743 4 1042.0000 v23 b40 282 N v23->b46->v24->b45->b40
13306.5000 M297 669428 2 4524.5000 v12 b41 224 N v12->b37->b41
13368.0000 M455 788838 3 2.0000 s76 s50 299 N s76->s86->s56->s50
13757.5000 M468 947891 1 0.5000 s50 s69 299 N s50->s69
13958.5000 M475 546265 1 0.5000 s95 s91 299 N s95->s91
13992.5000 M452 898514 1 702.5000 b47 b44 288 N b47->b44
13994.5000 M432 749271 2 1290.5000 v26 b32 278 N v26->v17->b32
14018.0000 M394 809108 3 2418.0000 b42 v14 259 N b42->b44->b32->v14
14102.5000 M392 906139 3 2562.5000 v27 v25 257 N v27->v4->b32->v25
14190.5000 M374 786262 1 3184.5000 s67 s73 246 N s67->s73
14302.0000 M389 930855 1 2852.0000 b44 v1 252 N b44->v1
14360.5000 M489 868109 1 0.5000 s70 s72 299 N s70->s72
14480.0000 M121 601626 3 10910.0000 s90 s55 118 N s90->s82->s67->s55
14484.0000 M423 936332 3 2056.0000 v23 v21 265 N v23->v24->b43->v21
14541.0000 M473 500111 3 639.0000 b35 v14 289 N b35->v21->b42->v14
14826.0000 M471 961219 3 981.0000 v6 b40 283 N v6->b47->b44->b40
14848.0000 M422 753746 4 2454.0000 v29 b38 259 N v29->b46->b36->v5->b38
14882.0000 M405 683524 3 2971.0000 v6 v3 250 N v6->v15->b31->v3
14930.0000 M487 951592 2 628.0000 v15 b47 289 N v15->b42->b47
15040.5000 M503 880806 3 262.5000 v21 b31 295 N v21->v8->b46->b31
15143.5000 M453 697421 4 1827.5000 v4 v3 269 N v4->b49->b48->b34->v3
15221.5000 M459 851360 4 1740.5000 v29 v25 270 N v29->v21->v19->b31->v25
15302.5000 M366 533454 1 4532.5000 b41 v9 224 N b41->v9
15462.0000 M496 638685 2 896.0000 b34 v19 285 N b34->v14->v19
15623.0000 M472 820395 4 1751.0000 b32 v28 270 N b32->v17->v9->b31->v28
15661.0000 M474 840931 3 1733.0000 v22 b38 271 N v22->b46->b39->b38
15680.5000 M461 806829 3 2144.5000 v6 v19 264 N v6->b41->b43->v19
15681.5000 M476 731732 4 1692.5000 b49 v19 271 N b49->b48->b34->b43->v19
15760.0000 M486 513748 3 1490.0000 b48 b47 275 N b48->b46->v21->b47
15864.0000 M540 778682 2 1.0000 s53 s81 299 N s53->s68->s81
15892.5000 M355 767553 3 5444.5000 v5 v18 209 N v5->v0->b38->v18
15950.5000 M491 918905 2 1536.5000 v26 v8 274 N v26->b31->v8
16016.0000 M517 602712 3 828.0000 v8 v2 286 N v8->b44->b45->v2
16159.0000 M550 764836 3 2.0000 s76 s51 299 N s76->s86->s56->s51
16339.5000 M482 625636 2 2178.5000 v4 v2 263 N v4->b32->v2
16388.0000 M460 525756 3 2880.0000 v22 b40 252 N v22->v26->b31->b40
16394.0000 M542 748858 2 471.0000 b44 v15 292 N b44->b31->v15
16397.5000 M552 922716 2 178.5000 v1 b36 297 N v1->v16->b36
16560.0000 M413 802148 3 4424.0000 b47 v24 226 N b47->v0->v26->v24
16783.0000 M233 908572 2 9886.0000 v0 v11 135 N v0->b45->v11
16974.0000 M525 972953 1 1550.0000 b46 v8 274 N b46->v8
16979.0000 M547 990683 2 917.0000 v1 b39 284 N v1->v16->b39
17247.0000 M575 968600 3 363.0000 v18 b49 293 N v18->v9->v23->b49
17370.0000 M527 776179 3 1884.0000 v7 v14 268 N v7->v10->b47->v14
17611.0000 M298 780316 2 8804.0000 v28 v16 153 N v28->b37->v16
17614.5000 M541 760866 3 1722.5000 v21 v9 271 N v21->v20->b49->v9
17677.0000 M558 731368 4 1286.0000 v7 b33 278 N v7->b40->v12->v18->b33
17745.5000 M534 622021 1 2061.5000 b46 b36 265 N b46->b36
17822.0000 M532 931523 4 2191.0000 v10 b43 263 N v10->v24->v7->b40->b43
18175.5000 M544 733788 2 2198.5000 v2 b43 263 N v2->b45->b43
18293.0000 M614 553573 2 283.0000 v2 v19 295 N v2->b36->v19
18761.0000 M639 924789 2 1.0000 s59 s52 299 N s59->s96->s52
18823.5000 M604 933299 4 1101.5000 v1 b49 281 N v1->b48->v11->b33->b49
18839.0000 M445 575335 2 5761.0000 b43 v3 203 N b43->b45->v3
18848.0000 M569 776504 3 2129.0000 v4 v27 264 N v4->b31->b48->v27
18880.0000 M585 580004 1 1708.0000 b36 v25 271 N b36->v25
18882.0000 M587 931023 3 1650.0000 b48 b49 272 N b48->v4->v3->b49
18885.5000 M643 870441 2 1.5000 s69 s51 299 N s69->s50->s51
19006.5000 M580 952296 1 1981.5000 b46 b31 266 N b46->b31
19188.5000 M613 503655 3 1203.5000 b43 b46 279 N b43->b33->b42->b46
19267.0000 M543 589740 4 3319.0000 b42 v3 244 N b42->b37->v11->b30->v3
19379.0000 M566 716746 4 2753.0000 b40 b41 254 N b40->b34->b38->v23->b41
19530.5000 M596 891781 2 2029.5000 v17 v26 266 N v17->b35->v26
19997.0000 M361 836580 3 9369.0000 v6 v13 143 N v6->b39->v14->v13
20056.5000 M617 778773 1 1953.5000 v28 b49 267 N v28->b49
20166.0000 M676 553973 1 290.0000 v13 b34 295 N v13->b34
20174.5000 M686 741093 1 0.5000 s95 s99 299 N s95->s99
20188.0000 M674 512954 1 374.0000 v4 v26 293 N v4->v26
20192.5000 M664 943259 4 691.5000 v15 b47 288 N v15->b49->v9->b44->b47
20431.0000 M635 604256 2 1796.0000 v11 v12 270 N v11->b46->v12
20463.5000 M696 683705 2 1.5000 s86 s51 299 N s86->s56->s51
20676.5000 M642 686113 2 1818.5000 v12 b30 269 N v12->b39->b30
20872.0000 M619 676448 2 2707.0000 v4 v25 254 N v4->b39->v25
21202.5000 M546 866896 1 5173.5000 b42 v22 213 N b42->v22
21268.5000 M723 911350 1 0.5000 s53 s90 299 N s53->s90
