# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
8187.5000 M265 612093 1 343.5000 b44 v2 294 N b44->v2
8489.5000 M287 814692 2 1.5000 s81 s53 299 N s81->s66->s53
8724.5000 M266 865488 2 851.5000 b38 b30 285 N b38->b32->b30
8764.5000 M256 678857 2 1174.5000 v11 b33 280 N v11->b30->b33
8921.0000 M233 908572 3 2024.0000 v0 v11 266 N v0->b32->v24->v11
8929.0000 M290 997788 2 348.0000 s58 s99 294 N s58->s95->s99
8978.5000 M245 569042 2 1716.5000 b42 b41 271 N b42->b39->b41
9026.0000 M212 697308 3 2751.0000 v12 v22 254 N v12->v14->b44->v22
9027.0000 M232 569382 5 2157.0000 v24 v22 264 N v24->b42->v4->b45->b44->v22
9027.5000 M283 563112 1 647.5000 v13 v21 289 N v13->v21
9310.5000 M280 531861 2 1015.5000 b36 b39 283 N b36->b38->b39
9412.5000 M241 894126 4 2274.5000 b36 v10 262 N b36->b39->v13->b44->v10
9416.0000 M300 648818 3 553.0000 v1 b34 290 N v1->b31->v14->b34
9428.0000 M240 508487 1 2317.0000 v13 v29 261 N v13->v29
9501.5000 M322 828359 1 0.5000 s83 s85 299 N s83->s85
9633.5000 M118 990380 2 6146.5000 s90 s68 197 N s90->s63->s68
9634.0000 M248 729761 5 2280.0000 s99 s68 262 N s99->s80->s91->s90->s63->s68
9731.5000 M309 556109 2 605.5000 b34 v25 289 N b34->b30->v25
9768.5000 M272 791670 3 1711.5000 v12 v16 271 N v12->b34->b30->v16
9813.5000 M333 787137 1 0.5000 s74 s97 299 N s74->s97
10075.5000 M342 641547 1 0.5000 s93 s88 299 N s93->s88
10150.5000 M281 794881 6 1830.5000 v22 b37 269 N v22->b39->b46->b30->v29->b33->b37
10168.0000 M297 669428 5 1386.0000 v12 b41 276 N v12->b34->v22->b39->b38->b41
10331.5000 M351 761437 1 0.5000 s96 s52 299 N s96->s52
10354.0000 M324 773182 3 800.0000 b47 b30 286 N b47->b41->b38->b30
10537.5000 M358 715916 1 0.5000 s53 s68 299 N s53->s68
10556.0000 M278 540400 5 2325.0000 v9 v3 261 N v9->b32->b30->b31->b38->v3
10609.0000 M298 780316 3 1802.0000 v28 v16 269 N v28->b37->b30->v16
10618.5000 M354 872250 1 201.5000 b43 b40 296 N b43->b40
10675.0000 M292 840270 1 2034.0000 v28 v12 266 N v28->v12
10730.0000 M267 573962 5 2823.0000 v7 v15 252 N v7->b36->b33->v2->v8->v15
10750.5000 M163 957322 1 5928.5000 s85 s92 201 N s85->s92
10751.5000 M199 567634 3 4851.5000 s57 s85 219 N s57->s70->s92->s85
10993.0000 M331 930586 3 1234.0000 b36 b47 279 N b36->b45->v17->b47
11128.5000 M306 551056 6 2097.5000 v19 v15 265 N v19->b48->b46->b30->b39->b38->v15
11252.0000 M325 732226 2 1672.0000 v15 b48 272 N v15->v8->b48
11343.0000 M339 988060 3 1360.0000 v23 b35 277 N v23->b39->v1->b35
11413.0000 M326 692309 3 1806.0000 v7 v12 269 N v7->b35->v6->v12
11473.5000 M364 768742 3 756.5000 v26 b49 287 N v26->v24->b31->b49
11477.5000 M313 803896 5 2235.5000 b37 v9 262 N b37->v4->b49->v19->b48->v9
11501.5000 M390 652618 1 22.5000 b38 v15 299 N b38->v15
11514.0000 M391 957666 2 1.0000 s59 s76 299 N s59->s96->s76
11812.0000 M361 836580 3 1184.0000 v6 v13 280 N v6->b49->b31->v13
