# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9165.5000 M235 503057 14 2213.5000 v6 b46 263 N v6->b32->b33->v12->v14->b42->b48->b36->v27->b40->b41->b49->v19->v9->b46
9311.0000 M280 531861 9 1016.0000 b36 b39 283 N b36->b38->b40->v1->b31->v14->b30->b45->v25->b39
9501.5000 M322 828359 1 0.5000 s83 s85 299 N s83->s85
9630.5000 M106 712689 10 6484.5000 s64 s63 191 N s64->s87->s84->s55->s95->s99->s80->s91->s58->s90->s63
9638.0000 M248 729761 7 2284.0000 s99 s68 261 N s99->s91->s80->s58->s95->s90->s63->s68
9778.5000 M300 648818 15 915.5000 v1 b34 284 N v1->b31->v14->b30->b45->v25->b39->b38->v16->v0->b46->v26->v22->b42->v17->b34
9813.5000 M333 787137 1 0.5000 s74 s97 299 N s74->s97
9831.0000 M256 678857 10 2241.0000 v11 b33 262 N v11->b49->b34->b42->b35->v27->v2->b43->b30->v25->b33
10067.0000 M205 831486 24 3993.0000 v15 b49 233 N v15->b48->b36->v7->b30->b40->b44->v12->b34->v4->b37->v5->b35->v0->b42->v26->v22->b39->b38->v16->v14->v20->v19->v17->b49
10075.5000 M342 641547 1 0.5000 s93 s88 299 N s93->s88
10331.5000 M351 761437 1 0.5000 s96 s52 299 N s96->s52
10537.5000 M358 715916 1 0.5000 s53 s68 299 N s53->s68
10572.5000 M93 719389 27 7804.5000 v16 v23 169 N v16->v28->b31->b44->v1->v29->v12->b40->v27->v26->v25->b48->v20->b47->v24->v13->b36->b39->v8->b37->v9->v22->v18->b46->b43->v10->b45->v23
10645.5000 M137 631418 30 6590.5000 v28 b33 190 N v28->b49->b48->b31->v26->b36->v7->b37->v11->b41->v10->b46->v24->b35->v16->b40->v27->b44->v14->b38->v21->v25->v13->v29->b39->v1->b30->v20->b43->b45->b33
10726.5000 M34 844772 33 9719.5000 b44 v6 138 N b44->b43->v14->b49->v9->b37->v8->b31->v29->b34->v1->b40->v21->b33->b36->b30->v10->b38->v5->b47->v25->v3->v15->b48->v18->v11->v24->b32->v19->v20->v17->b41->b39->v6
10779.0000 M241 894126 21 3641.0000 b36 v10 239 N b36->v11->b43->v18->v1->v23->b37->v15->b42->v5->b49->b32->v19->b38->v7->b30->v20->b40->b45->b33->v17->v10
10891.5000 M192 803181 24 5203.5000 b47 v27 213 N b47->b39->b46->v14->v18->v25->b42->v24->b34->v29->v2->v17->v0->b38->v9->b33->v13->b32->b30->b40->v23->b45->b43->v20->v27
11277.0000 M383 910514 3 2.0000 s79 s86 299 N s79->s51->s56->s86
11514.0000 M391 957666 2 1.0000 s59 s76 299 N s59->s96->s76
11561.0000 M339 988060 10 1578.0000 v23 b35 273 N v23->b39->v10->b45->v27->v25->v20->b30->v13->b46->b35
11812.0000 M361 836580 5 1184.0000 v6 v13 280 N v6->b39->b49->v1->b31->v13
11935.5000 M89 502436 3 9286.5000 s58 s85 145 N s58->s98->s78->s85
11993.0000 M393 575325 9 420.0000 v10 b33 293 N v10->v22->v19->b46->b43->b37->b34->v12->b49->b33
12024.5000 M409 541506 1 0.5000 s69 s88 299 N s69->s88
12074.5000 M45 506581 37 10729.5000 v21 b44 121 N v21->b34->v23->b37->v17->v10->v9->b40->b33->v1->b46->v26->b47->b39->v25->v27->b48->v20->v4->v15->b35->b41->b30->b36->v6->v18->b43->b42->b45->b38->v22->v13->b32->v24->v11->v2->v8->b44
12127.0000 M115 804649 29 8719.0000 b37 v20 154 N b37->b44->b38->v0->b42->b30->b33->b48->b49->v14->v22->v3->v25->b45->v11->v15->b46->b35->v27->v2->b43->v24->b41->v16->b40->b36->v21->b32->v4->v20
12234.0000 M236 844026 24 5248.0000 b30 b46 212 N b30->b40->b44->v12->b34->v4->b37->v5->b35->v0->b42->v26->v22->b39->b38->v16->v14->b48->v7->b33->b45->b43->v23->v24->b46
12236.5000 M406 604457 2 298.5000 v14 v5 295 N v14->b39->v5
12332.0000 M395 815148 4 705.0000 v14 b45 288 N v14->b39->v5->b37->b45
12354.0000 M196 776404 26 6547.0000 b47 b31 190 N b47->b39->b46->v14->v18->v25->b42->v24->b34->v29->v2->v17->v0->b38->v9->b33->v13->b32->b30->b40->v23->b45->b43->v20->v27->v7->b31
12483.0000 M385 516767 7 1150.0000 b43 b31 280 N b43->b34->v23->v5->b37->b45->b46->b31
12605.5000 M265 612093 19 4761.5000 b44 v2 220 N b44->v12->b40->v7->b38->v27->b34->v4->b30->b46->v0->b35->v1->b48->b42->b47->b36->b37->b31->v2
12664.0000 M122 975987 37 9063.0000 v24 v26 148 N v24->v13->b46->b42->b49->v12->b39->b44->b47->v20->v4->v15->b35->b41->b30->b36->b48->v6->b33->b43->v18->b32->v14->v28->v16->v21->v25->b38->v7->b45->v17->b40->v19->v22->b34->b37->v0->v26
12702.5000 M245 569042 21 5440.5000 b42 b41 209 N b42->v24->b39->v29->b34->b38->v17->v2->v0->b47->b46->v18->b43->v10->b44->b31->v12->v28->b48->v9->b35->b41
12725.0000 M429 827866 2 113.0000 v22 b33 298 N v22->b42->b33
12871.5000 M438 951493 1 0.5000 s51 s79 299 N s51->s79
12914.0000 M167 798197 19 7979.0000 v5 v11 167 N v5->b32->b48->b33->v20->b37->b40->v21->b30->v7->b36->b31->b45->v4->b34->v14->v9->b35->b41->v11
12928.5000 M281 794881 18 4608.5000 v22 b37 223 N v22->v18->b46->b43->v10->b47->v24->b41->b38->v4->b42->b48->v7->v27->v21->b32->b34->v1->b37
12943.5000 M237 705144 25 5930.5000 v22 v6 201 N v22->b41->b31->v23->v17->v4->v28->b30->b45->v0->b39->b38->v10->b32->b42->v21->v16->v13->v29->b37->v3->v5->v24->b46->v15->v6
13034.0000 M442 892501 3 42.0000 v3 v24 299 N v3->b43->v23->v24
13368.5000 M455 788838 3 2.5000 s76 s50 299 N s76->s86->s56->s50
13540.5000 M354 872250 22 3123.5000 b43 b40 247 N b43->b42->b49->v14->b41->v18->v21->b36->b39->v1->b35->v6->v12->b34->b33->v8->v17->v26->b44->b46->v28->v20->b40
13576.0000 M90 838494 31 10902.0000 b42 v5 118 N b42->b45->v20->b35->b37->b44->b38->v0->b33->b30->v25->b47->b39->b46->v18->v14->b31->b41->b32->v28->v4->v17->v19->v10->v2->b40->v23->v13->v16->v29->b36->v5
13651.5000 M266 865488 29 5778.5000 b38 b30 203 N b38->v10->b32->v28->b42->v21->v16->v13->v29->b39->v7->v1->b48->v19->b49->b45->v22->b47->v12->v26->v0->v5->v25->v20->b36->b46->b31->b43->b35->b30
13757.5000 M468 947891 1 0.5000 s50 s69 299 N s50->s69
13849.5000 M324 773182 21 4295.5000 b47 b30 228 N b47->b41->v24->b34->b36->v6->b39->b49->v1->b31->v13->v25->v22->v20->b42->b33->v26->b44->b46->v28->b40->b30
13888.0000 M283 563112 27 5508.0000 v13 v21 208 N v13->b32->v9->b48->b44->v22->b39->b46->b30->b43->v24->b41->b38->v4->b42->v27->b47->v7->v0->v26->v5->v25->v20->b36->v29->b31->v19->v21
13958.5000 M475 546265 1 0.5000 s95 s91 299 N s95->s91
14022.0000 M421 929738 9 1660.0000 b37 v17 272 N b37->b36->v2->b31->b49->v10->v9->v14->b32->v17
14167.5000 M452 898514 9 877.5000 b47 b44 285 N b47->v28->b42->b43->b37->v19->b31->v25->b32->b44
14360.5000 M489 868109 1 0.5000 s70 s72 299 N s70->s72
14500.5000 M229 923227 21 7727.5000 b42 b43 171 N b42->v4->b32->v6->v12->b31->b30->b46->v16->b48->v7->b36->b38->b40->v1->v14->v9->b35->b41->v11->b34->b43
14844.5000 M364 768742 17 4127.5000 v26 b49 231 N v26->b44->v3->b38->b31->v0->b30->b46->v23->b48->b45->v2->v14->v9->v17->v25->b42->b49
14919.0000 M394 809108 10 3319.0000 b42 v14 244 N b42->b35->b40->v28->b44->b32->b34->b41->v5->b38->v14
14930.0000 M487 951592 4 628.0000 v15 b47 289 N v15->b41->b49->b42->b47
15046.0000 M503 880806 5 268.0000 v21 b31 295 N v21->v8->b46->b34->v14->b31
15291.5000 M313 803896 25 6049.5000 b37 v9 199 N b37->v5->b35->v0->b42->v26->v22->b39->b38->b30->v1->v7->b33->v29->b43->v27->b34->b46->v8->v21->b41->v17->b31->v25->b45->v9
15371.5000 M523 900444 6 4.5000 s56 s59 299 N s56->s88->s50->s69->s52->s96->s59
15387.0000 M326 692309 26 5780.0000 v7 v12 203 N v7->v1->b48->b42->v27->b47->b36->b37->b31->b46->b38->b33->v14->v2->b43->v20->b44->b49->v17->b41->v21->v8->v25->b45->v9->b40->v12
15441.0000 M169 610098 31 10445.0000 v22 b45 125 N v22->b39->v21->b47->b42->v3->v25->b34->b43->b35->v24->b33->b48->v18->b36->v23->v1->v7->b40->b38->v27->b30->v14->v9->v10->b32->v17->b49->b41->b31->v20->b45
15453.5000 M88 507417 37 12834.5000 b31 v10 86 N b31->v24->b45->v4->b30->b36->v6->v3->b44->b35->v20->v0->b48->v15->b33->b40->b43->v13->v1->b49->v11->b37->v8->b46->b42->b39->b41->v22->v9->b34->v21->v14->b32->v25->v5->v29->b47->v10
15831.5000 M366 533454 25 5061.5000 b41 v9 215 N b41->v18->v21->b36->b39->v1->b35->v6->v12->b34->b33->b49->b43->v29->b46->v16->b47->b32->v23->b38->v17->b44->b40->v28->b31->v9
15864.5000 M540 778682 2 1.5000 s53 s81 299 N s53->s68->s81
15964.0000 M422 753746 13 3570.0000 v29 b38 240 N v29->b46->v16->b41->v24->b30->v28->b40->b44->v17->b31->v9->b32->b38
16009.5000 M460 525756 11 2501.5000 v22 b40 258 N v22->v26->b46->b33->b36->v14->b48->b30->v19->b42->b49->b40
16159.0000 M550 764836 3 2.0000 s76 s51 299 N s76->s86->s56->s51
16342.5000 M212 697308 32 10067.5000 v12 v22 132 N v12->b45->b38->b42->v4->b32->v6->b31->b30->b46->v16->b48->v7->b36->v24->v11->b43->b41->v25->v17->b37->v23->v20->b33->v10->v13->b34->b40->v29->b35->b39->v5->v22
16497.5000 M471 961219 11 2652.5000 v6 b40 255 N v6->b41->v0->b31->v28->b30->v24->b39->b33->v17->v9->b40
16689.0000 M331 930586 30 6930.0000 b36 b47 184 N b36->b45->v6->b46->v4->b38->v25->v16->b41->v17->b37->v23->v20->b33->v10->v13->b30->b44->b35->v11->b40->v28->v5->b39->b48->v14->v19->b42->b49->v1->b47
16694.0000 M292 840270 28 8053.0000 v28 v12 165 N v28->b44->b38->v16->v13->v29->b39->v7->v1->b48->b42->v27->b47->b36->b37->b31->b46->v19->v14->b33->v2->b43->v20->b45->v8->v23->b34->b40->v12
16722.0000 M191 547102 27 11064.0000 v4 b33 115 N v4->b35->v26->b45->v0->v17->b38->b31->b47->b41->v24->b34->b36->v6->b39->b49->v19->b46->v22->b43->b37->v5->v12->v3->b32->v9->b44->b33
16925.5000 M461 806829 14 3389.5000 v6 v19 243 N v6->b47->b44->v12->b32->v23->b38->v17->b40->v28->b31->v9->v0->b43->v19
17274.5000 M325 732226 25 7694.5000 v15 b48 171 N v15->v11->v8->v2->b45->b49->v12->b43->b33->v17->b41->b42->v20->v5->v25->b31->b46->b44->b40->b30->v28->v9->b32->b38->v0->b48
17362.0000 M544 733788 9 1385.0000 v2 b43 276 N v2->b45->b46->v27->b32->b31->v1->b47->v20->b43
17421.0000 M473 500111 25 3519.0000 b35 v14 241 N b35->v5->b37->b41->v15->b42->b49->b47->b40->v8->b44->b45->v9->v21->b31->v23->v20->b38->v28->b34->b36->v16->b30->v11->b46->v14
18039.5000 M496 638685 22 3473.5000 b34 v19 242 N b34->v14->b46->v21->v8->b36->b33->b37->b45->v12->v17->b38->b44->b40->v23->b31->v28->v9->b32->v18->v25->b49->v19
18162.5000 M261 711007 28 10433.5000 b47 v6 126 N b47->b34->b33->b31->b43->b38->b36->b48->v9->v19->b46->b39->v25->v22->v16->b30->v1->v7->b35->v20->b37->v17->b45->b40->b41->v13->v24->v15->v6
18184.0000 M338 697599 27 8226.0000 v29 v26 162 N v29->b30->b37->b38->b40->v7->b33->b45->b43->v12->v6->b35->b42->v28->b44->b32->b34->b41->v5->b39->b48->v14->b36->b49->v1->v16->v8->v26
18264.0000 M547 990683 7 2202.0000 v1 b39 263 N v1->v16->b41->v2->b48->v0->v4->b39
18293.0000 M614 553573 2 283.0000 v2 v19 295 N v2->b36->v19
18547.0000 M176 579901 36 13334.0000 b34 v9 77 N b34->v27->b41->b35->b30->v12->b33->b43->v18->b32->v6->v14->b42->b48->b36->v16->v28->b40->v7->b38->b44->v3->b45->b31->v1->b39->v26->v22->v13->v23->v5->b37->v29->v21->v19->b49->v9
18576.5000 M233 908572 34 11679.5000 v0 v11 105 N v0->b45->v28->b39->b38->v10->b32->b42->v21->v16->v13->v29->b37->v3->v5->v24->v23->b46->v15->v6->b47->b44->v12->v17->b40->b49->v1->b31->v4->b48->b30->v2->v20->b33->v11
18761.0000 M639 924789 2 1.0000 s59 s52 299 N s59->s96->s52
18848.0000 M174 952886 38 13698.0000 v3 b48 71 N v3->v20->b33->v2->b49->b40->b36->v7->v21->b35->v9->v13->v6->b45->v18->b47->b39->b41->v14->b32->v25->v22->b42->v8->v0->v23->b44->v12->b38->v17->b31->v28->b34->v11->b37->v16->b30->v27->b48
18886.0000 M643 870441 3 2.0000 s69 s51 299 N s69->s88->s50->s51
18899.5000 M569 776504 9 2180.5000 v4 v27 263 N v4->b43->b33->b39->b30->b48->b38->v2->v20->v27
19121.0000 M474 840931 18 5193.0000 v22 b38 213 N v22->v26->b46->b39->v2->b37->b33->v15->v27->b45->v11->b49->b34->b32->b41->b43->v21->v3->b38
19267.5000 M445 575335 19 6189.5000 b43 v3 196 N b43->b45->b49->b33->b38->v17->b42->v2->b31->v0->b35->b44->b37->v9->v18->v7->b40->v10->b30->v3
