# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
7672.5000 M20 773543 4 7090.5000 s50 s99 181 N s50->s88->s96->s80->s99
7735.0000 M194 875828 1 1988.0000 s73 s90 266 N s73->s90
7746.5000 M211 725483 3 1503.5000 v28 v6 274 N v28->b46->b31->v6
7846.5000 M221 948206 5 1306.5000 v18 v9 278 N v18->b32->b33->v21->b35->v9
7860.0000 M72 566893 9 5718.0000 s85 s91 204 N s85->s74->s97->s65->s68->s94->s98->s58->s80->s91
7860.5000 M79 579028 4 5507.5000 s75 s91 208 N s75->s86->s76->s80->s91
7870.0000 M241 894126 4 732.0000 b36 v10 287 N b36->v11->b45->b38->v10
7937.0000 M268 818605 2 2.0000 s57 s54 299 N s57->s70->s54
8027.5000 M271 614868 1 0.5000 s74 s92 299 N s74->s92
8075.0000 M215 782491 5 1710.0000 v0 v26 271 N v0->v17->v3->v25->b45->v26
8078.0000 M261 711007 2 349.0000 b47 v6 294 N b47->v4->v6
8187.5000 M265 612093 1 343.5000 b44 v2 294 N b44->v2
8348.5000 M245 569042 5 1086.5000 b42 b41 281 N b42->v4->b46->b33->b40->b41
8451.5000 M266 865488 4 578.5000 b38 b30 290 N b38->b34->b49->b42->b30
8490.0000 M287 814692 3 2.0000 s81 s53 299 N s81->s63->s68->s53
8513.5000 M272 791670 2 456.5000 v12 v16 292 N v12->b44->v16
8523.5000 M232 569382 4 1653.5000 v24 v22 272 N v24->b37->v11->v18->v22
8641.5000 M290 997788 2 60.5000 s58 s99 298 N s58->s95->s99
8764.5000 M256 678857 2 1174.5000 v11 b33 280 N v11->b30->b33
8786.5000 M233 908572 7 1889.5000 v0 v11 268 N v0->v28->b38->b34->b33->b31->b36->v11
9004.5000 M73 567791 8 6831.5000 s97 s90 186 N s97->s65->s68->s94->s98->s58->s99->s95->s90
9027.5000 M283 563112 1 647.5000 v13 v21 289 N v13->v21
9093.0000 M280 531861 4 798.0000 b36 b39 286 N b36->b38->b44->v22->b39
9151.0000 M300 648818 3 288.0000 v1 b34 295 N v1->v14->b30->b34
9296.0000 M292 840270 6 655.0000 v28 v12 289 N v28->b44->v3->b45->v5->b37->v12
9501.5000 M322 828359 1 0.5000 s83 s85 299 N s83->s85
9583.5000 M309 556109 2 457.5000 b34 v25 292 N b34->v22->v25
9630.5000 M106 712689 6 6484.5000 s64 s63 191 N s64->s84->s73->s99->s82->s90->s63
9658.5000 M149 586647 6 5256.5000 s98 s81 212 N s98->s58->s99->s95->s90->s63->s81
9659.0000 M118 990380 2 6172.0000 s90 s68 197 N s90->s63->s68
9659.5000 M248 729761 4 2305.5000 s99 s68 261 N s99->s95->s90->s63->s68
9703.5000 M49 955987 4 8238.5000 s62 s53 162 N s62->s82->s90->s68->s53
9813.5000 M333 787137 1 0.5000 s74 s97 299 N s74->s97
10075.5000 M342 641547 1 0.5000 s93 s88 299 N s93->s88
10141.0000 M281 794881 3 1821.0000 v22 b37 269 N v22->v18->b33->b37
10240.0000 M297 669428 5 1458.0000 v12 b41 275 N v12->b34->v22->v25->v16->b41
10331.5000 M351 761437 1 0.5000 s96 s52 299 N s96->s52
10537.5000 M358 715916 1 0.5000 s53 s68 299 N s53->s68
10540.5000 M306 551056 5 1509.5000 v19 v15 274 N v19->b46->v9->b32->v11->v15
10541.5000 M267 573962 3 2634.5000 v7 v15 256 N v7->b36->v11->v15
10556.0000 M278 540400 6 2325.0000 v9 v3 261 N v9->v6->v13->v16->v29->b38->v3
10701.0000 M354 872250 2 284.0000 b43 b40 295 N b43->v16->b40
11277.0000 M383 910514 3 2.0000 s79 s86 299 N s79->s51->s56->s86
11343.0000 M339 988060 3 1360.0000 v23 b35 277 N v23->b39->v1->b35
11420.5000 M326 692309 2 1813.5000 v7 v12 269 N v7->b35->v12
11473.5000 M364 768742 2 756.5000 v26 b49 287 N v26->b31->b49
11477.5000 M313 803896 4 2235.5000 b37 v9 262 N b37->v5->b42->b48->v9
11502.5000 M390 652618 1 23.5000 b38 v15 299 N b38->v15
11514.0000 M391 957666 2 1.0000 s59 s76 299 N s59->s96->s76
11528.5000 M331 930586 1 1769.5000 b36 b47 270 N b36->b47
11919.5000 M377 672041 1 824.5000 b47 v22 286 N b47->v22
11935.5000 M89 502436 2 9286.5000 s58 s85 145 N s58->s78->s85
12024.5000 M409 541506 1 0.5000 s69 s88 299 N s69->s88
12212.5000 M4 523257 8 12100.5000 s55 s85 98 N s55->s84->s73->s91->s82->s90->s99->s80->s85
12239.5000 M365 845236 3 1495.5000 b45 v25 275 N b45->v22->b41->v25
12252.0000 M276 559312 2 4080.0000 s54 s58 232 N s54->s85->s58
12419.5000 M317 708700 2 3057.5000 s86 s85 249 N s86->s93->s85
12498.0000 M389 930855 3 1048.0000 b44 v1 282 N b44->v10->b34->v1
12725.0000 M429 827866 2 113.0000 v22 b33 298 N v22->b42->b33
12802.0000 M263 763073 5 5013.0000 s54 s53 216 N s54->s70->s72->s57->s75->s53
12824.5000 M324 773182 1 3270.5000 b47 b30 245 N b47->b30
12871.5000 M438 951493 1 0.5000 s51 s79 299 N s51->s79
12927.5000 M393 575325 3 1354.5000 v10 b33 277 N v10->v0->v26->b33
12997.0000 M385 516767 3 1664.0000 b43 b31 272 N b43->v10->v0->b31
13016.0000 M421 929738 2 654.0000 b37 v17 289 N b37->b31->v17
13113.0000 M171 689925 5 8055.0000 s69 s74 165 N s69->s88->s66->s75->s90->s74
13157.5000 M386 841814 3 1791.5000 v21 v5 270 N v21->b32->b31->v5
13187.5000 M209 714314 6 7006.5000 s93 s74 183 N s93->s66->s75->s63->s57->s53->s74
13238.0000 M415 946743 2 1042.0000 v23 b40 282 N v23->b45->b40
13368.0000 M455 788838 3 2.0000 s76 s50 299 N s76->s86->s56->s50
13539.5000 M298 780316 4 4732.5000 v28 v16 221 N v28->b44->v17->b41->v16
13737.5000 M395 815148 5 2110.5000 v14 b45 264 N v14->b39->v25->v5->b36->b45
13757.5000 M468 947891 1 0.5000 s50 s69 299 N s50->s69
13958.5000 M475 546265 1 0.5000 s95 s91 299 N s95->s91
13992.5000 M452 898514 1 702.5000 b47 b44 288 N b47->b44
13994.5000 M432 749271 2 1290.5000 v26 b32 278 N v26->v17->b32
14190.5000 M374 786262 1 3184.5000 s67 s73 246 N s67->s73
14295.0000 M366 533454 3 3525.0000 b41 v9 241 N b41->v20->v25->v9
14360.5000 M489 868109 1 0.5000 s70 s72 299 N s70->s72
14440.0000 M422 753746 4 2046.0000 v29 b38 265 N v29->v16->b46->b40->b38
14623.5000 M423 936332 2 2195.5000 v23 v21 263 N v23->b46->v21
14847.5000 M406 604457 6 2909.5000 v14 v5 251 N v14->v19->v23->b46->b40->b38->v5
14895.0000 M471 961219 2 1050.0000 v6 b40 282 N v6->b47->b40
15062.5000 M486 513748 2 792.5000 b48 b47 286 N b48->b44->b47
15221.5000 M503 880806 3 443.5000 v21 b31 292 N v21->v8->v25->b31
15370.0000 M523 900444 3 3.0000 s56 s59 299 N s56->s52->s96->s59
15754.0000 M476 731732 2 1765.0000 b49 v19 270 N b49->b42->v19
15755.5000 M461 806829 5 2219.5000 v6 v19 263 N v6->b44->v2->b49->b42->v19
15941.0000 M459 851360 2 2460.0000 v29 v25 259 N v29->b33->v25
16016.0000 M517 602712 3 828.0000 v8 v2 286 N v8->v15->b45->v2
16124.0000 M111 887512 17 12829.0000 s70 s67 86 N s70->s54->s85->s74->s97->s65->s98->s58->s99->s95->s90->s63->s57->s75->s90->s74->s62->s67
16159.0000 M550 764836 3 2.0000 s76 s51 299 N s76->s86->s56->s51
16339.5000 M482 625636 2 2178.5000 v4 v2 263 N v4->b32->v2
16471.5000 M405 683524 1 4560.5000 v6 v3 223 N v6->v3
16485.5000 M453 697421 3 3169.5000 v4 v3 247 N v4->b35->b36->v3
16560.0000 M413 802148 4 4424.0000 b47 v24 226 N b47->v12->b32->v26->v24
16914.5000 M487 951592 2 2612.5000 v15 b47 256 N v15->b33->b47
16917.0000 M361 836580 4 6289.0000 v6 v13 195 N v6->v19->v7->v24->v13
17174.0000 M491 918905 3 2760.0000 v26 v8 254 N v26->v22->v5->v8
17599.5000 M575 968600 3 715.5000 v18 b49 288 N v18->v9->v25->b49
17607.0000 M338 697599 4 7649.0000 v29 v26 172 N v29->v16->b36->b35->v26
17622.0000 M541 760866 2 1730.0000 v21 v9 271 N v21->b49->v9
17642.5000 M527 776179 2 2156.5000 v7 v14 264 N v7->b40->v14
17725.0000 M544 733788 2 1748.0000 v2 b43 270 N v2->b47->b43
17956.5000 M552 922716 1 1737.5000 v1 b36 271 N v1->b36
18088.5000 M558 731368 3 1697.5000 v7 b33 271 N v7->b40->b35->b33
18126.5000 M473 500111 4 4224.5000 b35 v14 229 N b35->v5->b39->b45->v14
18293.0000 M614 553573 2 283.0000 v2 v19 295 N v2->b36->v19
18328.0000 M580 952296 5 1303.0000 b46 b31 278 N b46->v23->b47->b43->b45->b31
18394.5000 M474 840931 5 4466.5000 v22 b38 225 N v22->b41->b32->v16->b37->b38
18436.5000 M628 737449 2 2.5000 s50 s79 299 N s50->s51->s79
18633.0000 M442 892501 2 5641.0000 v3 v24 205 N v3->b38->v24
18761.0000 M639 924789 2 1.0000 s59 s52 299 N s59->s96->s52
